entity,year,value
1,2000,0.26
1,2001,0.26
1,2002,0.26
1,2003,0.25
1,2004,0.25
1,2005,0.24
1,2006,0.24
1,2007,0.22
1,2008,0.2
1,2009,0.19
1,2010,0.17
1,2011,0.15
1,2012,0.13
1,2013,0.12
1,2014,0.11
1,2015,0.1
1,2016,0.09
1,2017,0.09
1,2018,0.08
1,2019,0.08
4,2000,0.0
4,2001,0.0
4,2002,0.0
4,2003,0.0
4,2004,0.0
4,2005,0.0
4,2006,0.0
4,2007,0.0
4,2008,0.0
4,2009,0.0
4,2010,0.0
4,2011,0.01
4,2012,0.01
4,2013,0.01
4,2014,0.01
4,2015,0.01
4,2016,0.01
4,2017,0.01
4,2018,0.01
4,2019,0.01
9,2000,0.04
9,2001,0.05
9,2002,0.06
9,2003,0.07
9,2004,0.07
9,2005,0.07
9,2006,0.07
9,2007,0.07
9,2008,0.06
9,2009,0.06
9,2010,0.06
9,2011,0.06
9,2012,0.06
9,2013,0.05
9,2014,0.05
9,2015,0.05
9,2016,0.05
9,2017,0.05
9,2018,0.04
9,2019,0.04
12,2000,0.0
12,2001,0.0
12,2002,0.0
12,2003,0.0
12,2004,0.0
12,2005,0.0
12,2006,0.0
12,2007,0.0
12,2008,0.0
12,2009,0.01
12,2010,0.01
12,2011,0.01
12,2012,0.01
12,2013,0.01
12,2014,0.01
12,2015,0.01
12,2016,0.01
12,2017,0.01
12,2018,0.01
12,2019,0.01
15,2000,0.01
15,2001,0.01
15,2002,0.01
15,2003,0.01
15,2004,0.01
15,2005,0.01
15,2006,0.01
15,2007,0.01
15,2008,0.01
15,2009,0.01
15,2010,0.01
15,2011,0.01
15,2012,0.01
15,2013,0.01
15,2014,0.01
15,2015,0.01
15,2016,0.01
15,2017,0.01
15,2018,0.01
15,2019,0.01
21,2000,0.0
21,2001,0.0
21,2002,0.0
21,2003,0.0
21,2004,0.0
21,2005,0.0
21,2006,0.0
21,2007,0.0
21,2008,0.0
21,2009,0.0
21,2010,0.0
21,2011,0.0
21,2012,0.0
21,2013,0.0
21,2014,0.0
21,2015,0.0
21,2016,0.0
21,2017,0.0
21,2018,0.0
21,2019,0.0
24,2000,0.39
24,2001,0.43
24,2002,0.47
24,2003,0.51
24,2004,0.54
24,2005,0.56
24,2006,0.56
24,2007,0.58
24,2008,0.58
24,2009,0.58
24,2010,0.57
24,2011,0.58
24,2012,0.56
24,2013,0.5
24,2014,0.44
24,2015,0.43
24,2016,0.44
24,2017,0.45
24,2018,0.4
24,2019,0.32
30,2000,0.0
