entity,year,value
4,2011,32.83217
4,2015,47.74356
8,2009,77.16682
8,2017,96.12347
12,2013,53.67744
24,2015,49.34269
31,2006,97.63525
32,2000,74.81
32,2001,74.31
32,2002,78.48
32,2003,87.51
32,2004,77.78
32,2005,82.34
32,2006,84.48
32,2007,79.52
32,2008,88.23
32,2009,86.4
32,2011,77.44
32,2012,89.55
32,2013,87.03
32,2014,75.71
32,2016,87.44
32,2017,88.8
32,2018,89.98
50,2006,41.42687
50,2011,45.71112
50,2014,49.96945
51,2006,81.87723
51,2011,100.0
51,2016,100.0
64,2010,53.2466
68,2000,84.26
68,2001,88.62
68,2002,84.37
68,2003,88.49998
68,2004,87.36
68,2005,89.15
68,2006,88.2
68,2007,97.78
68,2008,90.15821
68,2009,96.69
68,2011,90.96
68,2012,94.57
68,2013,97.11
68,2014,91.5
68,2015,93.37
68,2016,94.43
68,2017,91.3
68,2018,97.47
70,2012,99.67559
76,2001,82.98
76,2002,85.53
76,2003,88.16
76,2004,89.93
76,2005,90.49
76,2006,89.88
76,2007,90.28
76,2008,91.05
76,2009,92.07
76,2011,91.09
76,2012,90.45
76,2013,90.76
76,2014,93.08
76,2015,94.31
76,2016,91.29
76,2017,93.22
76,2018,94.16
84,2016,87.65668
104,2016,72.55885
108,2017,9.50895
112,2012,100.0
116,2005,22.38667
116,2010,45.4291
116,2014,61.12374
120,2004,34.05824
120,2006,31.81326
120,2011,43.77703
120,2014,55.43039
140,2006,20.23701
140,2010,22.17175
144,2006,86.81049
148,2004,15.76753
148,2014,20.28369
152,2000,95.1
152,2003,98.52
152,2006,97.24
152,2009,97.81
152,2011,94.27
152,2013,95.9
152,2015,96.11
152,2017,95.07
170,2002,76.82
170,2003,79.23
170,2004,81.09
170,2005,76.75962
170,2008,89.14
170,2009,84.83
170,2010,85.16602
170,2011,85.87
170,2012,84.71
170,2013,86.56
170,2014,85.55
170,2015,85.71923
170,2016,85.81
170,2017,85.13
170,2018,88.88
174,2012,67.61974
178,2005,21.87935
178,2012,43.00536
178,2015,75.53588
180,2007,53.91375
180,2010,51.02842
180,2013,70.13208
188,2000,55.94
188,2001,63.35
188,2002,64.49
188,2003,68.31
188,2004,63.21
188,2005,65.65
188,2006,69.65
188,2007,63.88
188,2008,72.73
188,2009,80.3
188,2010,80.84
188,2011,66.53144
188,2012,74.42
188,2013,77.39
188,2014,81.14
188,2015,82.47
188,2016,79.39
188,2017,75.85
188,2018,86.72
204,2006,37.06512
204,2011,48.08555
204,2014,42.25576
204,2018,35.39302
214,2000,80.52
214,2001,69.69
214,2002,77.06
214,2003,83.26
214,2004,80.27
214,2005,74.78
214,2006,77.68
214,2007,80.70911
214,2008,73.75
214,2009,88.35
214,2010,87.08
214,2011,85.13
214,2012,86.65
214,2013,87.67759
214,2014,89.43808
214,2015,82.56
214,2016,90.23
214,2017,89.63
214,2018,90.01
218,2001,78.27
218,2003,81.74
218,2005,81.81
218,2006,84.87
218,2007,83.6
218,2008,88.65
218,2009,86.84
218,2010,91.98
