entity,year,value
4,2011,26.23514
4,2015,46.31236
8,2000,93.75
8,2005,98.93
8,2009,98.47662
8,2017,93.54951
12,2013,95.42671
24,2015,30.24373
31,2000,96.95
31,2006,98.60269
50,2004,56.1
50,2006,64.72682
50,2007,58.95
50,2011,68.81937
50,2013,67.07
50,2014,77.20143
51,2006,100.0
51,2011,100.0
51,2016,99.73138
52,2012,97.40502
64,2010,54.78242
68,2000,77.73
68,2001,74.83
68,2002,81.65
68,2003,84.54649
68,2004,85.77
68,2005,86.11
68,2006,88.27
68,2007,90.72
68,2008,91.13515
68,2009,92.31
68,2011,94.0
68,2012,91.33
68,2013,95.84
68,2014,94.65
68,2015,96.69
68,2016,95.34
68,2017,98.3
68,2018,97.26
70,2006,98.43
70,2012,100.0
76,2001,89.4
76,2002,91.07
76,2003,92.08
76,2004,92.74
76,2005,93.98
76,2006,94.04
76,2007,93.36
76,2008,94.33
76,2009,94.47
76,2011,94.95
76,2012,95.49
76,2013,95.71
76,2014,96.62
76,2015,97.05
76,2016,93.15
76,2017,94.74
76,2018,95.25
84,2006,86.07
84,2011,79.58
84,2016,95.07378
104,2000,36.57
104,2016,83.13614
108,2000,5.45455
108,2005,6.64
108,2010,29.93849
108,2017,41.65411
112,2005,99.24
112,2012,98.91119
116,2005,43.72458
116,2010,60.82628
116,2014,62.58557
120,2000,52.96
120,2004,34.19246
120,2006,40.03082
120,2011,57.96418
120,2014,61.12741
140,2000,9.17
140,2006,9.31893
140,2010,20.75194
144,2006,98.82745
148,2000,8.68
148,2004,8.95155
148,2010,14.98
148,2014,17.6453
152,2000,93.84
152,2003,96.12
152,2006,95.66
152,2009,97.44
152,2011,95.44
152,2013,95.15
152,2015,96.47
152,2017,96.44
156,2010,94.76
156,2012,93.84
156,2014,98.38
170,2002,77.84
170,2003,78.0
170,2004,80.44
170,2005,82.66362
170,2008,87.58
170,2009,88.31
170,2010,89.7858
170,2011,89.97
170,2012,90.42
170,2013,90.25
170,2014,91.05
170,2015,91.12209
170,2016,92.24
170,2017,92.15
170,2018,92.41
174,2000,27.81
174,2012,71.94417
178,2005,47.77232
178,2012,62.62995
178,2015,71.40371
180,2001,20.76
180,2007,31.85814
180,2010,26.60003
180,2013,56.34995
188,2000,79.86
188,2001,78.58
188,2002,80.73
188,2003,84.43
188,2004,88.7
188,2005,90.97
188,2006,87.34
188,2007,90.17
188,2008,90.7
188,2009,90.57
188,2010,87.79
188,2011,93.02647
188,2012,91.92
188,2013,90.88
188,2014,94.48
188,2015,94.74
188,2016,95.04
188,2017,96.29
188,2018,96.41
204,2006,32.41127
204,2011,47.69865
204,2014,43.0439
204,2018,33.05875
214,2000,64.98
214,2001,68.77
214,2002,67.51
214,2003,75.85
214,2004,77.86
214,2005,77.03
214,2006,80.51
214,2007,80.03973
214,2008,79.18
214,2009,83.6
214,2010,82.11
214,2011,87.13
214,2012,87.57
214,2013,89.08926
214,2014,90.26508
214,2015,89.21
214,2016,88.87
214,2017,93.37
214,2018,94.38
218,2000,90.59
218,2001,86.68
218,2003,88.52
218,2005,91.41
218,2006,93.68
218,2007,90.9
218,2008,92.91
218,2009,94.24
218,2010,94.91
218,2011,94.63
218,2012,96.53
218,2013,97.78
218,2014,97.67
218,2015,97.94
218,2016,98.09
218,2017,98.34
218,2018,98.93
222,2000,62.48
222,2001,62.72
222,2002,70.63
222,2003,68.55
222,2004,68.56
222,2005,69.24
222,2006,70.02
222,2009,79.84
222,2010,81.58
222,2012,83.01
222,2013,85.92
222,2014,86.12
222,2015,85.29
222,2016,86.84
222,2017,85.57
222,2018,86.55
226,2000,25.52
231,2005,12.6228
231,2011,23.49201
231,2016,34.13201
266,2012,67.45358
268,2005,98.66
270,2000,36.99
270,2006,54.15173
270,2010,56.54845
270,2013,54.55524
275,2010,98.76
275,2014,98.69192
288,2003,44.06
288,2006,63.55
288,2009,57.20115
288,2011,58.78
288,2015,60.76899
320,2000,33.24
320,2006,52.86
320,2011,59.17
320,2014,65.9
320,2015,71.07483
324,2005,10.48709
324,2012,22.23764
324,2016,33.262
328,2000,95.02
328,2006,86.20105
328,2009,95.66846
328,2014,98.16412
332,2005,19.91133
332,2012,25.59328
332,2017,40.23554
340,2001,58.06
340,2004,58.49
340,2005,63.54
340,2006,63.97
340,2009,72.19
340,2010,75.63
340,2011,77.76369
340,2012,76.38
340,2013,80.37
340,2014,81.7
340,2015,81.24
340,2016,77.02
340,2018,83.74
356,2005,69.2
356,2006,69.30518
356,2011,85.24
356,2016,91.19425
360,2003,87.8677
360,2008,91.49187
360,2012,94.86
360,2017,97.08896
368,2000,48.47
368,2011,57.39365
376,2012,99.77
384,2000,21.08
384,2006,30.30017
384,2012,27.37366
384,2016,49.20684
388,2011,99.55035
398,2006,99.20059
398,2011,100.0
398,2015,99.85811
400,2007,95.47799
400,2012,97.91
404,2000,57.35
404,2003,49.7252
404,2008,75.0947
404,2014,80.37177
417,2006,99.50146
417,2012,99.05465
417,2014,99.86382
418,2000,42.96
418,2006,35.18657
418,2012,54.01642
418,2017,81.9291
426,2005,32.41906
426,2009,51.77109
426,2014,53.50125
430,2007,7.28262
430,2013,12.47877
450,2000,13.15
450,2004,10.07
450,2009,18.77586
454,2004,34.42643
454,2006,30.22
454,2010,41.8889
454,2014,35.5
454,2016,33.8299
462,2008,95.86938
462,2017,95.96948
466,2006,20.02021
466,2010,17.92
466,2013,23.05404
466,2015,27.13777
478,2007,21.51243
478,2011,30.66324
478,2015,38.3275
484,2000,90.47
484,2002,90.44
484,2004,92.07
484,2006,96.05
484,2008,94.4
484,2010,95.92
484,2012,95.27
484,2014,96.09
484,2016,95.46601
484,2018,97.51
496,2000,75.74
496,2006,94.71319
