entity,year,value
1,2000,26.1
1,2005,24.5
1,2010,23.2
1,2015,21.6
1,2020,19.7
4,2017,28.3
8,2018,11.8
12,2019,3.8
15,2000,21.4
15,2005,19.2
15,2010,18.4
15,2015,18.0
15,2020,17.7
24,2016,30.3
31,2011,11.0
34,2000,56.4
34,2005,49.4
34,2010,46.0
34,2015,37.1
34,2020,28.4
35,2000,21.7
35,2005,20.3
35,2010,18.3
35,2015,15.9
35,2020,16.1
50,2019,51.4
51,2016,5.3
52,2012,29.2
62,2000,55.5
62,2005,48.6
62,2010,45.1
62,2015,36.5
62,2020,28.1
64,2010,25.8
68,2016,19.7
70,2012,3.5
76,2006,26.2
84,2016,33.5
90,2015,21.3
104,2015,16.0
108,2017,19.0
112,2019,5.0
116,2014,18.5
120,2018,29.8
132,2005,18.0
140,2019,61.0
143,2000,13.0
143,2005,13.8
143,2010,7.9
143,2015,7.2
143,2020,8.4
144,2016,9.8
145,2000,23.2
145,2005,20.6
145,2010,18.9
145,2015,18.9
145,2020,17.3
148,2019,60.6
170,2015,23.4
174,2012,31.6
178,2015,27.3
180,2018,29.1
188,2018,21.2
192,2019,29.4
199,2000,47.1
199,2005,45.5
199,2010,44.4
199,2015,39.9
199,2020,36.5
202,2000,38.3
202,2005,36.2
202,2010,37.8
202,2015,35.8
202,2020,34.0
204,2018,30.6
214,2014,35.9
218,2018,22.2
222,2014,25.5
226,2011,29.5
231,2016,40.3
232,2010,40.7
246,2017,0.0
262,2012,5.3
266,2012,21.9
268,2018,13.9
270,2018,25.7
275,2020,13.4
288,2018,19.3
296,2019,18.4
320,2015,29.5
324,2018,46.5
328,2014,30.2
332,2017,14.9
340,2012,33.6
356,2016,27.3
360,2017,16.3
364,2010,16.7
368,2018,27.9
384,2016,27.0
388,2011,7.9
398,2015,7.0
400,2018,9.7
404,2014,22.9
408,2018,0.1
417,2018,12.9
418,2017,32.7
419,2000,24.7
419,2005,23.2
419,2010,24.4
419,2015,24.1
419,2020,22.1
422,2015,6.0
426,2018,16.4
430,2013,35.9
432,2000,41.9
432,2005,41.3
432,2010,39.5
432,2015,36.5
432,2020,33.4
440,2019,0.0
450,2018,40.3
454,2015,42.1
462,2017,2.2
466,2018,53.7
478,2015,37.0
484,2018,20.7
496,2018,12.0
498,2012,12.2
499,2018,5.8
504,2018,13.7
508,2015,52.9
512,2014,4.0
516,2013,6.9
520,2007,26.8
524,2019,32.8
543,2000,26.2
543,2005,29.3
543,2010,27.9
543,2015,27.4
543,2020,26.3
548,2013,21.4
558,2012,35.2
562,2012,76.3
566,2018,43.4
584,2007,26.3
586,2018,18.3
591,2013,26.4
598,2018,27.3
600,2016,21.6
604,2018,17.4
608,2017,16.5
624,2019,25.7
626,2016,14.9
634,2012,4.2
646,2015,6.8
662,2012,24.0
678,2019,28.0
686,2019,30.5
688,2019,5.5
694,2019,29.6
702,2020,0.1
704,2014,10.6
706,2020,35.5
710,2016,3.6
716,2019,33.7
722,2000,23.9
722,2005,25.1
722,2010,25.4
722,2015,23.3
722,2020,23.7
728,2010,51.5
729,2014,34.2
740,2018,36.0
747,2000,22.2
747,2005,19.8
747,2010,18.6
747,2015,18.3
747,2020,17.6
748,2014,5.3
760,2006,13.3
762,2017,8.7
764,2019,20.2
768,2017,24.8
776,2019,10.1
780,2011,11.2
788,2018,1.5
792,2018,14.7
795,2019,6.1
798,2007,9.9
800,2016,34.0
804,2012,9.1
807,2019,7.5
818,2014,17.4
826,2020,0.1
834,2016,30.5
854,2010,51.6
858,2013,24.6
860,2006,7.2
882,2020,7.4
887,2013,31.9
894,2018,29.0
