entity,year,value
1,2000,35.94937
1,2001,36.65287
1,2002,38.01312
1,2003,39.33213
1,2004,40.65665
1,2005,42.04583
1,2006,43.41671
1,2007,44.79048
1,2008,46.17795
1,2009,47.56596
1,2010,48.95573
1,2011,50.33625
1,2012,51.75477
1,2013,53.16518
1,2014,54.61369
1,2015,56.05479
1,2016,57.48904
1,2017,58.89186
4,2000,21.79577
4,2001,21.79577
4,2002,22.74099
4,2003,23.68621
4,2004,24.63143
4,2005,25.57665
4,2006,26.52187
4,2007,27.47609
4,2008,28.43092
4,2009,29.38638
4,2010,30.34245
4,2011,31.29914
4,2012,32.25646
4,2013,33.21439
4,2014,34.17294
4,2015,35.13211
4,2016,36.0919
4,2017,37.0523
5,2000,41.71534
5,2001,43.14507
5,2002,44.5786
5,2003,46.03349
5,2004,47.49144
5,2005,50.94679
5,2006,52.39501
5,2007,53.85515
5,2008,55.31156
5,2009,56.76647
5,2010,58.2065
5,2011,59.65237
5,2012,61.103
5,2013,62.5169
5,2014,63.93086
5,2015,65.34649
5,2016,66.74314
5,2017,67.59583
8,2000,82.11327
8,2001,83.19687
8,2002,84.28047
8,2003,85.36407
8,2004,86.44767
8,2005,87.53127
8,2006,88.61487
8,2007,89.69847
8,2008,90.78207
8,2009,91.86567
8,2010,92.94927
8,2011,94.03287
8,2012,95.11647
8,2013,96.20007
8,2014,96.88553
8,2015,96.88553
8,2016,96.88553
8,2017,96.88553
9,2000,53.18128
9,2001,52.76844
9,2002,52.35438
9,2003,52.02546
9,2004,51.71206
9,2005,51.11338
9,2006,50.53758
9,2007,50.0001
9,2008,49.47148
9,2009,48.94823
9,2010,48.41423
9,2011,47.86412
9,2012,47.2927
9,2013,46.72013
9,2014,46.14452
9,2015,45.56665
9,2016,44.95769
9,2017,44.24687
11,2000,18.20567
11,2001,18.22894
11,2002,18.50203
11,2003,18.7723
11,2004,19.04506
11,2005,19.33418
11,2006,19.62562
11,2007,19.91664
11,2008,20.20796
11,2009,20.50169
11,2010,20.79786
11,2011,21.09767
11,2012,21.40048
11,2013,21.70569
11,2014,22.01295
11,2015,22.31194
11,2016,22.62042
11,2017,22.92242
12,2000,72.32192
12,2001,72.98107
12,2002,73.64022
12,2003,74.29938
12,2004,74.95853
12,2005,75.61769
12,2006,76.27684
12,2007,76.936
12,2008,77.59515
12,2009,78.25431
12,2010,78.91346
12,2011,79.57262
12,2012,80.23177
12,2013,80.89093
12,2014,81.55008
12,2015,82.20924
12,2016,82.20924
12,2017,82.20924
13,2000,53.80295
13,2001,55.10873
13,2002,56.39605
13,2003,57.69197
13,2004,58.97188
13,2005,60.23737
13,2006,61.49089
13,2007,62.73175
13,2008,63.95558
13,2009,65.1769
13,2010,66.38501
13,2011,67.57874
13,2012,68.759
13,2013,69.92599
13,2014,71.07977
13,2015,72.22091
13,2016,73.3742
13,2017,74.45101
14,2000,12.79304
14,2001,13.17946
14,2002,13.50387
14,2003,13.8425
14,2004,14.16353
14,2005,14.50364
14,2006,14.85188
14,2007,15.19946
14,2008,15.59427
14,2009,15.96443
14,2010,16.33292
14,2011,16.29208
14,2012,16.64626
14,2013,16.99575
14,2014,17.34383
14,2015,17.69359
14,2016,18.04201
14,2017,18.48976
15,2000,63.0713
15,2001,63.4733
15,2002,63.92881
15,2003,64.37886
15,2004,64.83041
15,2005,65.47409
15,2006,66.12662
15,2007,66.80001
15,2008,67.4828
15,2009,68.17182
15,2010,68.86506
15,2011,69.5615
15,2012,70.26572
15,2013,70.96754
15,2014,71.61156
15,2015,72.21785
15,2016,72.74426
15,2017,72.72116
17,2000,17.46872
17,2001,17.35972
17,2002,17.2479
17,2003,17.1175
17,2004,16.98586
17,2005,16.85338
17,2006,16.81061
17,2007,16.7667
17,2008,16.7213
17,2009,16.64703
17,2010,16.57304
17,2011,16.49907
17,2012,16.42493
17,2013,16.35343
17,2014,16.27718
17,2015,16.19832
17,2016,16.12011
17,2017,16.42019
18,2000,38.39851
18,2001,40.03095
18,2002,41.68862
18,2003,43.3607
18,2004,45.04845
18,2005,46.74986
18,2006,48.46392
18,2007,50.1969
18,2008,51.94319
18,2009,53.70314
18,2010,55.47684
18,2011,57.26398
18,2012,59.05613
18,2013,60.86014
18,2014,62.67705
18,2015,64.50714
18,2016,66.3429
18,2017,68.16447
20,2000,100.0
20,2001,100.0
20,2002,100.0
20,2003,100.0
20,2004,100.0
20,2005,100.0
20,2006,100.0
20,2007,100.0
20,2008,100.0
20,2009,100.0
20,2010,100.0
20,2011,100.0
20,2012,100.0
20,2013,100.0
20,2014,100.0
20,2015,100.0
20,2016,100.0
20,2017,100.0
21,2000,99.84705
21,2001,99.84732
21,2002,99.84717
21,2003,99.84699
21,2004,99.84679
21,2005,99.83747
21,2006,99.82806
21,2007,99.81881
21,2008,99.80952
21,2009,99.80018
21,2010,99.7908
21,2011,99.78124
21,2012,99.77097
21,2013,99.76048
21,2014,99.74977
21,2015,99.73887
21,2016,99.72778
21,2017,99.71655
24,2000,7.53102
24,2001,8.45465
24,2002,9.37829
24,2003,10.30192
24,2004,11.22555
24,2005,12.14918
24,2006,13.07281
24,2007,13.99645
24,2008,14.92008
24,2009,15.84371
24,2010,16.76734
24,2011,17.69098
24,2012,18.61461
24,2013,19.53824
24,2014,20.46187
24,2015,21.3855
24,2016,22.30914
24,2017,23.23277
