entity,year,value
1,2000,28.0
1,2014,23.0
1,2016,23.5
1,2018,24.0
4,2014,62.7
4,2016,71.3
4,2018,70.7
9,2000,24.0
9,2014,24.0
9,2016,23.6
9,2018,23.7
24,2000,86.5
24,2005,86.5
24,2010,65.8
24,2014,55.5
24,2016,48.8
24,2018,48.6
32,2000,32.9
32,2005,26.2
32,2010,20.8
32,2014,16.7
32,2016,14.7
32,2018,14.7
50,2000,77.8
50,2005,70.8
50,2010,61.6
50,2014,55.1
50,2016,49.4
50,2018,47.2
51,2014,14.4
51,2016,9.3
51,2018,9.3
53,2000,0.03
53,2014,0.03
53,2016,0.01
53,2018,0.01
62,2000,46.0
62,2014,32.0
62,2016,32.3
62,2018,31.2
68,2000,54.3
68,2005,50.4
68,2010,47.3
68,2014,43.5
68,2016,49.5
68,2018,48.5
70,2016,7.6
70,2018,7.6
76,2000,31.5
76,2005,29.0
76,2010,26.9
76,2014,22.3
76,2016,16.3
76,2018,16.3
84,2014,10.8
84,2016,5.1
84,2018,5.0
104,2005,45.6
104,2014,41.0
104,2016,56.6
104,2018,56.1
108,2005,64.3
108,2014,57.9
108,2016,48.6
108,2018,47.7
112,2016,45.2
112,2018,33.2
116,2005,78.9
116,2014,55.1
116,2016,47.7
116,2018,45.1
120,2000,48.4
120,2005,47.4
120,2010,46.1
120,2014,37.8
120,2016,35.8
120,2018,33.7
124,2016,0.01
124,2018,0.01
140,2000,91.9
140,2005,94.1
140,2010,95.9
140,2014,93.3
140,2016,97.5
140,2018,95.4
148,2000,93.9
148,2005,91.3
148,2010,89.3
148,2014,88.2
148,2016,87.0
148,2018,86.9
152,2005,9.0
152,2014,9.0
152,2016,9.0
152,2018,8.8
156,2000,37.3
156,2005,32.9
156,2010,29.1
156,2014,25.2
156,2018,24.6
170,2000,22.3
170,2005,17.9
170,2010,14.3
170,2014,13.1
170,2016,28.1
170,2018,27.8
174,2000,65.4
174,2005,68.9
174,2014,69.6
174,2016,69.6
174,2018,68.4
178,2005,53.4
178,2010,49.9
178,2014,46.9
178,2016,48.0
178,2018,47.8
180,2005,76.4
180,2010,61.7
180,2014,74.8
180,2016,79.1
180,2018,77.5
188,2005,10.9
188,2014,5.5
188,2016,3.9
188,2018,3.9
192,2016,6.6
192,2018,6.6
202,2000,65.0
202,2014,56.0
202,2016,55.6
202,2018,56.2
204,2000,74.3
204,2005,71.8
204,2010,69.8
204,2014,61.5
204,2016,59.6
204,2018,58.8
208,2016,0.001
