entity,year,value
8,2018,144.0
32,2018,99.0
50,2017,79.4
51,2014,393.4
51,2015,481.8
51,2016,353.9
51,2017,395.2
51,2018,411.3
51,2019,573.3
68,2005,2.6
68,2006,3.1
68,2007,3.9
68,2008,7.3
68,2009,7.4
68,2011,7.6
68,2012,5.2
68,2013,9.0
68,2014,15.4
68,2015,14.3
68,2016,11.1
68,2017,9.5
68,2018,12.2
68,2019,12.9
70,2011,2.3
70,2012,2.7
70,2018,3.3
70,2019,3.4
72,2019,8.0
76,2012,4.3
76,2013,4.2
76,2014,4.6
76,2015,4.8
76,2016,5.3
76,2017,5.9
76,2018,6.0
76,2019,6.2
84,2017,7.0
84,2018,6.2
84,2019,4.5
96,2014,3.1
96,2017,5.3
100,2014,8.7
100,2018,4.0
104,2017,605.8
104,2018,704.3
104,2019,725.7
112,2019,3.8
116,2012,4670.1
120,2014,567.9
144,2013,53.1
144,2014,56.6
144,2015,59.2
144,2016,60.8
144,2017,78.3
144,2018,67.4
148,2018,178.2
152,2015,1429.3
152,2017,1996.4
188,2012,1339.1
188,2013,1254.5
188,2016,1622.4
188,2017,1349.4
188,2018,1552.6
191,2018,33.0
203,2012,94.4
203,2013,100.0
203,2014,103.4
203,2015,105.2
203,2016,106.5
203,2017,115.1
203,2018,122.1
208,2014,162.9
208,2018,174.0
218,2013,1.6
218,2014,2.0
218,2015,1.9
218,2016,1.8
218,2017,1.7
218,2018,1.8
218,2019,2.0
233,2010,4.5
233,2014,3.6
233,2018,5.0
246,2010,11.9
246,2013,13.9
246,2014,14.0
246,2016,13.7
246,2017,12.5
250,2010,10.0
250,2014,13.0
250,2018,12.0
270,2012,9.4
276,2010,10.3
276,2014,10.9
288,2015,1.8
300,2014,5.9
320,2006,5.0
320,2010,5.6
320,2011,9.1
320,2013,3.8
320,2014,6.8
320,2015,7.3
320,2016,10.4
320,2017,7.9
328,2018,288.9
340,2015,16.0
340,2016,16.6
340,2017,19.8
340,2018,20.0
348,2014,858.8
348,2018,1167.0
360,2017,6235.7
360,2019,7161.6
372,2010,16.7
376,2015,43.7
376,2016,35.0
376,2018,45.1
380,2010,8.9
380,2014,10.3
380,2018,11.0
400,2017,1.4
400,2018,1.3
400,2019,3.7
410,2009,7058.0
410,2010,7555.0
410,2011,9514.0
410,2012,9474.0
410,2013,8825.0
410,2014,10694.0
410,2015,8514.0
410,2016,10594.0
410,2017,9930.0
410,2018,12132.0
410,2019,12086.0
418,2017,15450.7
422,2019,2835.1
428,2010,2.5
428,2014,2.6
428,2018,4.0
442,2014,12.5
442,2018,15.0
454,2013,135.7
458,2011,4.4
458,2012,4.0
458,2013,4.4
458,2014,4.0
458,2015,5.4
458,2016,6.0
458,2017,8.0
458,2018,8.5
462,2016,60.0
466,2013,105.5
480,2011,37.2
480,2012,30.5
480,2013,45.4
480,2014,37.7
480,2015,65.7
480,2016,58.2
480,2017,72.3
480,2018,53.0
480,2019,57.4
484,2016,12.0
496,2019,3872.0
524,2017,111.3
528,2010,10.3
528,2014,11.9
528,2018,12.0
578,2014,188.8
578,2018,173.0
586,2016,28.0
586,2017,33.5
586,2018,34.0
600,2002,1418.6
600,2003,4377.5
600,2004,2097.3
600,2005,3064.3
600,2006,3592.4
600,2007,2864.6
600,2008,3712.3
600,2009,2265.2
600,2010,2697.8
600,2011,4445.7
600,2012,2236.0
600,2013,3454.3
600,2014,3479.1
600,2015,7887.5
600,2016,5912.3
600,2017,5699.9
600,2018,10361.2
600,2019,10012.4
616,2014,12.6
620,2007,2.5
620,2008,2.6
620,2009,2.7
620,2010,2.6
620,2011,2.9
620,2012,2.9
620,2013,2.9
620,2014,4.0
620,2015,3.2
620,2016,3.1
620,2017,3.6
620,2018,3.4
626,2010,0.5
626,2013,1.3
642,2014,7.0
643,2015,117.0
643,2017,138.0
646,2017,394.1
688,2014,154.1
688,2015,159.1
688,2016,142.8
688,2017,171.8
688,2018,158.1
688,2019,143.4
703,2010,2.6
703,2014,2.7
703,2015,3.6
703,2019,4.9
704,2009,2087.6
704,2011,16356.9
704,2012,19331.1
704,2013,19256.6
704,2014,16510.5
704,2015,17470.5
704,2016,17731.2
704,2017,19011.9
704,2018,22224.5
704,2019,19824.0
705,2010,6.0
705,2014,6.1
705,2018,7.0
710,2019,11.6
716,2014,0.4
724,2010,8.2
748,2016,13.5
752,2014,141.7
752,2015,130.8
752,2016,137.2
752,2017,134.3
752,2018,139.5
756,2014,28.1
756,2018,28.0
768,2011,419.4
768,2015,87.7
768,2017,192.8
776,2018,4.5
800,2012,849.9
800,2017,1068.1
804,2016,21.9
826,2014,9.6
826,2015,10.0
826,2016,9.9
826,2017,10.0
826,2018,10.3
826,2019,10.7
858,2011,56.2
858,2012,63.5
858,2013,73.8
858,2014,103.5
858,2015,109.3
858,2016,111.9
858,2017,146.5
858,2018,122.3
858,2019,145.2
882,2012,3.4
882,2017,5.6
894,2017,15.9
894,2018,7.0
