entity,year,value
4,2015,40.01554
8,2017,41.2846
12,2013,8.15117
32,2000,32.71
32,2001,35.15
32,2002,46.28
32,2003,33.42
32,2004,37.71
32,2005,35.22
32,2006,31.69
32,2007,45.38
32,2008,48.59
32,2009,40.72
32,2011,44.24
32,2012,39.39
32,2013,45.92
32,2014,39.86
32,2016,46.31
32,2017,36.35
32,2018,45.27
50,2006,1.81038
50,2011,2.44106
50,2014,10.06762
51,2006,14.73144
52,2012,84.33534
68,2000,50.12
68,2001,45.47
68,2002,49.52
68,2004,58.41
68,2005,68.74
68,2006,55.7
68,2007,65.09
68,2009,64.78
68,2011,72.27
68,2012,67.82
68,2013,78.8
68,2014,69.18
68,2015,70.81
68,2016,76.52
68,2017,80.39
68,2018,68.59
76,2001,15.1
76,2002,16.98
76,2003,20.61
76,2004,23.36
76,2005,23.66
76,2006,27.79
76,2007,28.06
76,2008,31.28
76,2009,35.95
76,2011,39.39
76,2012,38.6
76,2013,41.34
76,2014,40.02
76,2015,44.57
76,2016,39.76
76,2017,39.22
76,2018,41.78
140,2006,2.59414
152,2000,40.18
152,2003,49.21
152,2006,57.45
152,2009,67.07
152,2011,65.85
152,2013,68.03
152,2015,73.97
152,2017,75.43
170,2002,40.24
170,2003,34.28
170,2004,38.16
170,2005,24.32844
170,2008,42.8
170,2009,46.79
170,2010,30.61388
170,2011,48.37
170,2012,46.02
170,2013,49.47
170,2014,48.96
170,2015,45.30469
170,2016,52.8
170,2017,57.24
170,2018,58.83
174,2012,12.81474
180,2013,22.09973
188,2000,16.1
188,2001,25.46
188,2002,20.99
188,2003,19.5
188,2004,27.55
188,2005,18.64
188,2006,20.52
188,2007,21.56
188,2008,14.1
188,2009,26.96
188,2010,25.83
188,2011,2.38019
188,2012,26.9
188,2013,24.6
188,2014,36.3
188,2015,21.11
188,2016,22.27
188,2017,25.01
188,2018,34.55
204,2011,1.94657
204,2014,2.34479
204,2018,3.33594
214,2000,28.47
214,2001,15.58
214,2002,26.89
214,2003,23.22
214,2004,39.54
214,2005,27.11
214,2006,36.42
214,2007,11.76216
214,2008,27.3
214,2009,26.35
214,2010,32.11
214,2011,38.93
214,2012,32.88
214,2013,19.10778
214,2014,20.11448
214,2015,38.45
214,2016,41.33
214,2017,33.12
214,2018,44.17
218,2001,35.55
218,2003,42.98
218,2005,36.31
218,2006,36.38
218,2007,44.7
218,2008,46.35
218,2009,45.32
218,2010,54.28
218,2011,57.95
218,2012,58.8
218,2013,53.78
218,2014,51.54
218,2015,57.18
218,2016,67.55
218,2017,57.55
218,2018,64.95
222,2000,20.87
222,2001,31.48
222,2002,35.87
222,2003,24.57
222,2004,27.55
222,2005,20.42
222,2006,29.86
222,2009,30.71
222,2010,31.0
222,2012,39.46
222,2013,42.83
222,2014,42.47
222,2015,44.28
222,2016,45.25
222,2017,47.57
222,2018,47.84
266,2012,0.64604
275,2014,36.57693
288,2015,30.39716
320,2000,13.1
320,2006,9.92
320,2014,28.44
320,2015,6.96841
340,2001,14.49
340,2004,15.75
340,2005,11.9
340,2009,18.91
340,2010,27.39
340,2011,6.43918
340,2012,32.04
340,2013,26.68
340,2014,26.89
340,2015,20.41
340,2016,33.78
340,2018,36.78
356,2006,6.08938
356,2016,13.169
360,2003,23.51866
360,2008,13.79781
360,2017,34.13628
368,2011,7.3065
388,2011,60.74096
398,2006,75.83187
398,2011,82.09156
398,2015,83.16303
400,2007,29.50213
404,2014,10.47483
417,2006,60.31607
484,2000,8.36
484,2002,12.06
484,2004,21.35
484,2006,27.63
484,2008,32.34
484,2010,34.55
484,2012,35.46
484,2014,42.18
484,2016,30.04036
484,2018,45.07
558,2001,6.94
558,2005,11.06
558,2009,17.61
558,2014,30.53
566,2011,7.04721
586,2012,16.59107
586,2018,0.06941
591,2000,28.68
591,2001,29.46
591,2002,29.15
591,2003,39.42
591,2004,29.85
591,2005,33.73
591,2006,34.02
591,2007,40.59
591,2008,40.68
591,2009,41.45
591,2011,41.78
591,2013,35.61
591,2014,35.5
591,2015,42.51
591,2016,50.35
591,2017,40.14
591,2018,47.65
600,2001,16.12
600,2003,36.82
600,2004,27.47
600,2005,21.82
600,2006,34.38
600,2007,42.12
600,2008,53.63
600,2009,38.1
600,2010,28.07
600,2011,21.26
600,2012,58.21
600,2013,47.57
600,2014,46.0
600,2015,41.72
600,2016,9.69972
600,2017,33.23
600,2018,42.02
604,2000,66.26
604,2001,51.79
604,2002,47.84
604,2003,46.73
604,2004,60.25
604,2005,64.29
604,2006,59.55
604,2007,63.39
604,2008,64.0
604,2009,59.42
604,2010,70.14
604,2011,77.2
604,2012,74.04
604,2013,75.81
604,2014,73.25
604,2015,72.23
604,2016,76.41
604,2017,81.62
604,2018,81.88
608,2004,17.35495
608,2018,46.67485
704,2011,21.91049
710,2016,16.19036
729,2014,3.94601
760,2006,7.40741
764,2013,22.94415
764,2016,30.44696
788,2012,2.73728
792,2004,33.23424
792,2014,23.8555
800,2016,8.2863
818,2005,9.81714
818,2009,6.93445
818,2014,12.65691
858,2000,2.81
858,2001,10.52
858,2002,5.9
858,2003,6.19
858,2004,8.16
858,2005,11.33
858,2008,3.7
858,2009,5.52
858,2010,5.65
858,2011,4.96
858,2012,6.48
858,2013,1.1468
858,2014,5.62
858,2015,7.06
858,2016,6.71
858,2017,10.35
858,2018,10.32
