entity,year,value
8,2011,15.83333
40,2009,19.91219
51,2008,17.72917
120,2014,11.21891
124,2016,15.41667
170,2013,13.45833
188,2017,18.33461
242,2016,6.90264
246,2000,15.64583
246,2010,15.82083
275,2000,8.61111
275,2013,8.81944
276,2013,18.35833
300,2014,18.19444
348,2010,17.0777
398,2018,15.20833
410,2014,13.6125
418,2017,4.28552
484,2009,14.29864
484,2014,15.31017
496,2015,15.47778
498,2012,19.14445
578,2011,17.15
600,2016,7.67534
604,2010,17.39751
616,2013,16.875
642,2000,20.41667
642,2012,18.26389
688,2011,18.92367
688,2015,16.21326
756,2010,12.91667
756,2013,12.29167
756,2016,13.25
792,2006,15.12864
