entity,year,value
4,2011,4.48524
4,2015,15.06574
8,2000,36.68
8,2005,31.5
8,2009,25.95292
8,2017,73.12106
12,2013,19.59646
24,2015,1.95493
31,2000,60.13
31,2006,71.18466
36,2010,77.22
40,2005,86.07
40,2011,81.78
40,2013,86.6
40,2014,87.2
50,2004,0.81
50,2006,2.47771
50,2007,2.42
50,2011,3.49023
50,2013,7.23
50,2014,7.35364
51,2006,16.29258
51,2011,88.7023
51,2016,57.15262
52,2012,93.16129
56,2005,90.11
56,2011,82.37
56,2013,78.95
56,2014,76.17
64,2010,8.19326
68,2000,35.0
68,2001,37.0
68,2002,32.97
68,2003,24.93658
68,2004,40.33
68,2005,53.59
68,2006,40.04
68,2007,54.84
68,2008,37.72289
68,2009,54.64
68,2011,61.4
68,2012,62.78
68,2013,72.9
68,2014,61.39
68,2015,59.69
68,2016,64.59
68,2017,66.87
68,2018,66.48
70,2006,39.35
70,2012,88.78678
76,2001,21.94
76,2002,26.38
76,2003,30.21
76,2004,33.57
76,2005,35.9
76,2006,39.95
76,2007,40.66
76,2008,42.73
76,2009,50.64
76,2011,50.74
76,2012,52.38
76,2013,55.91
76,2014,58.34
76,2015,59.88
76,2016,56.82
76,2017,55.79
76,2018,58.66
84,2006,4.01
84,2011,10.79
84,2016,33.99762
100,2011,74.67
100,2013,77.49
100,2014,72.84
104,2000,2.06
104,2016,5.63823
108,2000,1.33333
108,2010,0.5788
108,2017,2.95897
112,2005,75.41
112,2012,89.39548
116,2005,1.97196
116,2010,3.55587
116,2014,6.38084
120,2000,1.46
120,2006,1.18365
120,2011,1.23506
120,2014,1.77995
124,2010,84.74
140,2000,0.31
140,2010,0.40368
144,2006,12.67731
148,2010,0.09
148,2014,2.23809
152,2000,49.74
152,2003,62.04
152,2006,67.15
152,2009,73.03
152,2011,75.13
152,2013,77.9
152,2015,81.56
152,2017,83.81
156,2010,34.93
156,2012,40.98
156,2014,55.57
170,2002,35.23
170,2003,36.52
170,2004,38.4
170,2005,41.40916
170,2008,45.06
170,2009,44.33
170,2010,52.33003
170,2011,50.19
170,2012,50.68
170,2013,52.82
170,2014,53.78
170,2015,63.48436
170,2016,58.46
170,2017,61.4
170,2018,60.1
174,2000,1.55
174,2012,22.55942
178,2005,4.84437
178,2012,4.1756
178,2015,3.71425
180,2001,2.8
180,2007,4.04868
180,2010,2.81217
180,2013,12.90723
188,2000,20.78
188,2001,16.84
188,2002,20.87
188,2003,24.53
188,2004,26.03
188,2005,22.97
188,2006,23.03
188,2007,27.18
188,2008,24.33
188,2009,30.12
188,2010,29.94
188,2011,30.70438
188,2012,36.74
188,2013,40.85
188,2014,39.0
188,2015,43.61
188,2016,47.44
188,2017,46.15
188,2018,48.93
191,2011,95.76
191,2013,89.75
191,2014,90.98
196,2005,84.52
196,2011,89.39
196,2013,85.65
196,2014,87.9
203,2005,86.83
203,2011,88.55
203,2013,93.2
203,2014,95.25
204,2006,1.40899
204,2011,2.72225
204,2014,0.31996
204,2018,1.73494
208,2005,74.41
208,2011,52.19
208,2013,69.19
208,2014,80.34
214,2000,26.87
214,2001,25.08
214,2002,25.6
214,2003,30.08
214,2004,29.52
214,2005,31.98
214,2006,36.25
214,2007,28.92406
214,2008,42.32
214,2009,44.63
214,2010,44.59
214,2011,45.61
214,2012,50.1
214,2013,47.1858
214,2014,42.31493
214,2015,44.74
214,2016,55.14
214,2017,48.53
214,2018,58.63
218,2000,37.05
218,2001,25.92
218,2003,30.16
218,2005,30.87
218,2006,34.37
218,2007,36.5
218,2008,41.32
218,2009,38.53
218,2010,43.39
218,2011,50.02
218,2012,53.49
218,2013,52.86
218,2014,48.41
218,2015,58.87
218,2016,56.59
218,2017,61.06
218,2018,62.16
222,2000,17.97
222,2001,19.38
222,2002,22.54
222,2003,18.28
222,2004,18.31
222,2005,21.2
222,2006,26.52
222,2009,25.03
222,2010,30.72
222,2012,38.58
222,2013,35.45
222,2014,39.84
222,2015,43.26
222,2016,44.56
222,2017,43.07
222,2018,45.97
226,2000,1.93
231,2005,0.16231
231,2011,1.0523
231,2016,2.2039
233,2005,79.58
233,2011,81.47
233,2013,75.16
233,2014,79.16
246,2005,84.85
246,2011,83.59
246,2013,92.58
246,2014,92.64
250,2005,78.95
250,2011,84.88
250,2013,86.35
250,2014,88.38
266,2012,5.02424
268,2005,67.96
268,2013,92.75
270,2000,9.26
270,2006,6.42858
270,2010,11.26235
270,2013,15.89581
275,2010,54.96
275,2014,62.18906
276,2005,81.58
276,2011,78.73
276,2013,77.15
276,2014,68.96
288,2003,1.36
288,2006,0.6
288,2009,9.66724
288,2011,2.25
288,2015,27.12369
300,2005,86.29
300,2011,93.9
300,2013,95.44
300,2014,94.44
320,2000,3.35
320,2006,6.24
320,2011,6.17
320,2014,18.08
320,2015,12.69898
324,2012,1.10095
324,2016,2.71967
328,2000,26.46
328,2006,31.16483
328,2009,40.19324
328,2014,38.30083
332,2005,0.46851
332,2012,1.28458
332,2017,5.87237
340,2001,3.22
340,2004,5.9
340,2005,9.42
340,2006,4.86
340,2009,13.84
340,2010,15.16
340,2011,18.81071
340,2012,18.5
340,2013,24.65
340,2014,20.45
340,2015,26.5
340,2016,25.86
340,2018,19.01
348,2005,79.23
348,2011,83.52
348,2013,93.52
348,2014,89.28
352,2005,43.48
352,2011,53.25
352,2013,60.45
352,2014,54.93
356,2005,10.99
356,2006,7.09964
356,2011,24.12
356,2016,24.79442
360,2003,20.86603
360,2008,23.14887
360,2012,34.51
360,2017,46.39463
368,2000,12.52
368,2011,8.15602
