entity,year,value
40,2009,10.2
40,2010,6.3
40,2011,4.4
40,2012,7.0
40,2013,10.4
40,2014,8.1
40,2015,7.6
56,2009,3.1
56,2010,3.1
56,2011,10.8
56,2012,6.0
56,2013,5.6
56,2014,6.0
56,2015,1.1
191,2012,0.0
191,2013,0.0
196,2009,9.3
196,2010,7.7
196,2011,9.1
196,2012,8.7
196,2013,0.0
196,2014,14.1
196,2015,11.4
203,2009,20.2
203,2010,33.6
203,2011,21.9
203,2012,25.7
203,2013,22.6
203,2014,33.6
203,2015,25.7
208,2009,9.2
208,2010,9.8
208,2011,17.6
208,2012,21.3
208,2013,6.2
208,2014,4.7
208,2015,4.3
233,2009,0.0
233,2010,0.0
233,2011,0.0
233,2012,153.7
233,2014,87.0
233,2015,126.3
246,2009,0.0
246,2010,0.0
246,2011,0.0
246,2012,24.7
246,2013,0.0
246,2014,10.0
246,2015,0.0
250,2009,8.4
250,2010,9.0
250,2011,11.2
250,2012,8.2
250,2013,7.1
250,2014,6.0
250,2015,0.8
276,2009,1.0
276,2010,1.6
276,2011,0.8
276,2012,1.0
276,2013,2.0
276,2014,1.5
276,2015,1.2
300,2009,0.0
300,2010,0.0
300,2011,0.0
300,2012,7.4
300,2013,8.0
300,2014,0.0
300,2015,0.0
348,2009,13.3
348,2010,19.8
348,2011,21.1
348,2012,19.7
348,2013,0.0
348,2014,19.8
348,2015,0.0
372,2009,1.7
372,2010,1.8
372,2011,6.5
372,2012,1.8
372,2013,4.3
372,2014,1.7
372,2015,1.6
380,2009,0.0
380,2010,0.0
380,2011,0.0
380,2012,0.0
380,2013,0.0
380,2014,0.0
380,2015,0.0
428,2015,182.8
442,2009,3.7
442,2010,3.9
442,2011,9.3
442,2012,8.0
442,2013,3.9
442,2014,12.2
442,2015,12.1
470,2009,0.0
470,2010,0.0
470,2011,0.0
470,2012,75.6
470,2013,0.0
470,2014,0.0
470,2015,0.0
528,2009,3.0
528,2010,2.5
528,2011,0.0
528,2012,3.0
528,2013,2.8
528,2014,2.7
528,2015,2.6
578,2009,4.4
578,2010,3.5
578,2011,9.8
578,2012,7.5
578,2013,2.2
578,2014,9.0
578,2015,12.8
616,2009,540.7
616,2011,386.4
616,2012,279.3
616,2013,275.4
616,2014,208.2
616,2015,271.1
620,2009,12.3
620,2010,15.4
620,2011,18.7
620,2012,18.0
620,2013,15.5
620,2014,0.0
620,2015,15.8
703,2009,74.8
703,2010,71.6
703,2011,0.0
703,2013,0.0
703,2014,0.0
703,2015,0.0
705,2009,0.0
705,2010,0.0
705,2011,0.0
705,2012,87.1
705,2013,0.0
705,2014,85.6
705,2015,0.0
724,2011,7.1
724,2012,6.8
724,2013,8.0
724,2014,6.5
724,2015,8.7
752,2009,0.0
752,2010,0.0
752,2011,0.0
752,2012,0.0
752,2013,0.0
752,2014,0.0
752,2015,0.0
756,2009,3.4
756,2010,4.5
756,2011,2.5
756,2012,3.1
756,2013,4.6
756,2014,2.9
756,2015,1.8
826,2009,0.0
826,2010,0.0
826,2011,0.0
826,2012,0.0
826,2013,0.0
826,2014,0.0
826,2015,0.0
