entity,year,value
1,2020,35.4
4,2020,4.2
8,2008,34.0
9,2020,67.3
12,2019,53.8
15,2020,37.5
21,2020,83.1
30,2020,37.8
31,2020,32.1
32,2015,48.9
32,2020,47.4
34,2020,6.7
35,2020,25.5
36,2019,72.0
40,2019,77.4
44,2020,67.4
48,2019,62.0
48,2020,62.4
50,2019,12.5
51,2020,53.2
52,2009,65.0
53,2020,76.7
56,2019,63.1
60,2019,32.2
62,2020,8.5
64,2020,28.4
68,2019,16.0
68,2020,24.6
72,2019,43.1
76,2010,42.4
76,2020,48.7
84,2009,67.4
84,2020,71.4
90,2020,33.3
92,2019,98.4
92,2020,100.0
96,2019,88.0
96,2020,91.2
100,2019,86.8
104,2015,2.9
104,2020,8.5
108,2010,3.5
112,2020,70.9
116,2020,17.2
120,2015,7.9
120,2020,6.9
124,2019,69.1
132,2020,50.0
140,2019,13.9
143,2020,57.0
144,2020,58.0
145,2020,60.4
148,2019,4.7
150,2020,79.2
152,2020,68.7
156,2017,28.2
156,2020,31.8
170,2015,39.6
170,2020,37.7
178,2012,3.9
178,2019,14.2
180,2019,26.2
180,2020,26.2
188,2020,58.1
191,2011,68.0
192,2019,94.4
192,2020,100.0
196,2007,68.2
199,2020,10.5
202,2020,14.8
203,2019,66.2
204,2006,4.0
208,2019,88.0
212,2020,68.3
214,2015,39.2
214,2020,45.2
218,2020,43.1
222,2015,26.8
222,2020,30.7
226,2019,14.5
231,2020,7.8
233,2019,76.8
242,2020,55.7
246,2019,66.5
250,2019,74.1
262,2019,15.1
266,2019,45.0
268,2020,48.9
270,2003,12.1
270,2019,23.4
270,2020,23.4
276,2019,100.0
288,2019,16.6
296,2019,32.8
300,2019,46.9
308,2020,92.4
312,2020,36.6
320,2017,19.8
320,2020,18.6
324,2019,14.5
328,2020,100.0
332,2015,2.1
332,2019,15.7
340,2015,18.3
340,2019,15.3
344,2019,85.6
344,2020,83.2
348,2019,78.3
352,2019,95.1
356,2016,3.7
356,2020,3.7
360,2015,15.4
360,2020,22.5
364,2017,48.0
364,2020,45.8
372,2019,71.8
376,2019,74.1
380,2019,72.2
384,2019,14.7
392,2007,83.6
392,2020,84.0
398,2015,43.1
398,2020,75.4
400,2010,39.3
400,2020,57.5
404,2019,9.3
410,2019,85.2
410,2020,85.2
414,2019,95.1
417,2019,44.0
417,2020,64.6
418,2019,6.7
418,2020,8.0
419,2020,40.8
422,2019,47.8
428,2019,69.2
430,2019,7.0
430,2020,7.5
432,2020,16.3
440,2019,64.7
442,2019,77.1
450,2019,9.3
454,2019,6.9
458,2015,44.0
458,2020,49.8
466,2015,0.1
466,2020,5.3
470,2019,73.5
474,2020,59.0
478,2019,8.6
480,2019,68.2
484,2020,35.4
496,2015,60.2
496,2020,76.0
498,2011,71.6
498,2020,71.6
504,2019,39.0
508,2020,6.2
512,2009,14.7
512,2019,40.2
513,2020,80.6
516,2019,47.1
524,2019,3.8
524,2020,4.5
528,2019,97.6
533,2020,69.8
543,2020,26.0
548,2020,28.1
554,2019,100.0
558,2020,22.8
562,2019,6.9
566,2019,32.8
578,2019,89.6
586,2020,2.7
591,2020,60.2
598,2019,6.4
598,2020,20.5
600,2012,21.7
600,2020,22.4
604,2020,7.4
608,2017,26.0
608,2020,27.8
616,2008,95.2
616,2019,100.0
616,2020,100.0
620,2019,77.3
626,2020,31.3
630,2020,100.0
642,2019,63.1
643,2010,79.1
643,2020,79.1
646,2019,4.5
646,2020,8.5
662,2019,49.5
662,2020,53.6
666,2020,100.0
670,2019,59.4
674,2019,96.9
678,2020,20.9
682,2020,83.3
686,2019,10.0
688,2019,66.2
690,2019,69.1
694,2019,6.1
702,2019,72.6
702,2020,86.0
703,2019,66.4
703,2020,66.4
704,2015,21.1
704,2020,26.2
705,2015,80.5
705,2020,80.5
710,2019,67.5
710,2020,19.2
716,2006,24.1
716,2020,12.4
722,2020,54.9
724,2016,76.2
724,2020,76.2
736,2020,3.0
747,2020,50.0
748,2019,62.6
752,2019,84.8
753,2020,34.4
756,2019,66.7
760,2019,47.8
764,2019,31.0
768,2008,2.2
768,2019,8.6
768,2020,8.3
780,2006,65.5
780,2020,67.8
788,2004,36.4
788,2019,29.5
788,2020,28.9
792,2010,38.6
792,2019,60.3
795,2019,52.6
800,2019,16.0
818,2019,44.7
826,2019,68.0
834,2019,8.8
834,2020,8.8
840,2019,84.8
840,2020,84.8
850,2020,68.6
854,2015,2.3
854,2020,2.3
858,2008,54.7
858,2020,71.4
860,2019,44.1
882,2019,53.5
887,2019,37.7
894,2015,12.2
