entity,year,value
1,2005,41.6794
1,2010,46.12834
1,2015,52.31954
1,2016,50.46325
1,2017,55.02445
1,2018,55.95402
2,2005,51.7411
2,2010,55.06898
2,2015,66.00631
2,2016,63.81146
2,2017,66.18743
2,2018,67.32673
4,2005,38.51045
4,2010,43.07497
4,2015,59.20051
4,2016,58.98931
4,2017,65.38757
4,2018,66.2069
5,2005,58.52918
5,2010,62.26339
5,2015,70.25736
5,2016,67.96823
5,2017,67.59085
5,2018,70.0226
8,2005,55.9956
8,2010,67.24822
8,2015,72.81818
8,2016,55.43777
8,2017,69.96859
8,2018,71.21844
9,2005,42.45906
9,2010,42.99099
9,2015,50.04676
9,2016,46.80174
9,2017,50.92383
9,2018,51.67698
11,2005,39.11426
11,2010,37.89561
11,2015,67.65045
11,2016,64.58879
11,2017,72.85268
11,2018,75.21195
12,2005,68.23266
12,2010,54.11081
12,2015,71.61374
12,2016,46.75799
12,2017,68.74683
12,2018,69.48187
13,2005,56.92195
13,2010,58.43268
13,2015,59.42475
13,2016,58.91489
13,2017,60.76452
13,2018,59.98519
14,2005,56.63123
14,2010,66.9004
14,2015,76.60589
14,2016,76.99545
14,2017,79.33633
14,2018,80.10686
15,2005,67.23652
15,2010,63.82884
15,2015,65.03949
15,2016,59.01414
15,2017,62.06181
15,2018,62.73764
16,2005,28.57143
16,2010,8.16327
16,2015,12.98701
16,2016,24.62006
16,2017,30.88235
16,2018,31.26143
17,2005,65.45533
17,2010,63.20047
17,2015,64.51361
17,2016,50.52113
17,2017,57.10474
17,2018,58.69084
18,2005,45.09448
18,2010,49.5536
18,2015,61.66447
18,2016,62.80899
18,2017,61.68229
18,2018,62.70515
19,2005,46.63914
19,2010,50.08769
19,2015,54.25413
19,2016,53.67529
19,2017,54.2879
19,2018,55.22577
20,2005,58.93965
20,2010,54.57746
20,2015,66.85894
20,2016,34.23968
20,2017,56.81481
20,2018,57.66642
21,2005,35.44985
21,2010,40.04894
21,2015,42.82376
21,2016,43.89343
21,2017,44.56315
21,2018,45.58763
24,2005,57.17647
24,2010,62.46077
24,2015,66.76004
24,2016,45.2714
24,2017,47.93252
24,2018,48.33948
28,2005,55.46306
28,2010,35.02729
28,2015,74.34426
28,2016,81.86638
28,2017,68.39506
28,2018,70.41199
29,2005,65.24611
29,2010,59.04263
29,2015,65.53598
29,2016,67.04019
29,2017,65.53907
29,2018,66.29304
30,2005,30.13295
30,2010,33.15886
30,2015,39.15993
30,2016,39.14252
30,2017,41.97723
30,2018,43.04221
31,2005,79.10798
31,2010,80.85837
31,2015,69.98514
31,2016,74.90613
31,2017,70.21541
31,2018,70.47342
32,2005,58.16438
32,2010,64.14731
32,2015,71.10995
32,2016,72.03292
32,2017,67.94747
32,2018,73.34881
34,2005,33.1319
34,2010,37.07898
34,2015,39.44824
34,2016,39.30321
34,2017,41.10429
34,2018,42.25511
35,2005,41.12718
35,2010,48.60356
35,2015,57.93022
35,2016,56.33014
35,2017,60.74414
35,2018,61.65107
36,2005,41.20471
36,2010,42.00837
36,2015,48.67157
36,2016,47.72933
36,2017,51.78786
36,2018,52.52494
39,2005,41.88793
39,2010,48.13554
39,2015,55.49655
39,2016,71.88789
39,2017,59.63958
39,2018,60.38634
40,2005,45.48688
40,2010,52.20936
40,2015,58.89408
40,2017,62.80018
40,2018,63.55315
44,2005,59.87654
44,2010,53.70549
44,2015,68.68293
44,2016,57.20339
44,2017,62.84585
44,2018,63.20475
48,2005,73.46311
48,2010,70.54864
48,2015,65.33333
48,2016,75.3156
48,2017,67.05396
48,2018,67.64823
50,2005,52.18874
50,2010,50.75608
