entity,year,value
4,2011,0.03164
4,2015,12.88284
8,2009,36.28946
8,2017,88.05953
12,2013,45.49652
24,2015,3.56587
31,2006,85.77402
50,2006,19.47331
50,2011,14.45695
50,2014,26.25365
51,2006,62.83714
51,2011,99.60184
51,2016,99.15648
64,2010,8.56672
68,2000,19.79
68,2001,15.85
68,2002,28.96
68,2003,33.24154
68,2005,48.39
68,2007,65.2
68,2008,52.09783
68,2009,72.81
68,2011,56.78
68,2012,68.75
68,2013,66.03
68,2014,62.92
68,2015,72.58
68,2016,62.9
68,2017,76.95
68,2018,78.67
70,2012,90.75005
76,2001,29.5
76,2002,32.29
76,2003,36.97
76,2004,40.36
76,2005,47.47
76,2006,48.99
76,2007,56.93
76,2008,58.34
76,2009,61.01
76,2011,69.1
76,2012,73.26
76,2013,73.71
76,2014,74.39
76,2015,73.76
76,2016,70.71
76,2017,75.35
76,2018,74.66
84,2016,36.89182
104,2016,8.72437
108,2010,0.50394
108,2017,4.49742
112,2012,100.0
116,2005,2.14858
116,2010,11.3508
116,2014,18.8303
120,2004,1.49601
120,2011,0.93644
120,2014,1.71689
140,2006,0.23643
140,2010,0.19122
144,2006,83.53267
148,2014,2.06792
152,2000,75.05
152,2003,84.77
152,2006,92.67
152,2009,94.01
152,2011,92.27
152,2013,93.05
152,2015,95.66
152,2017,96.35
170,2002,24.18
170,2003,40.36
170,2004,33.29
170,2005,28.6109
170,2008,39.55
170,2009,43.1
170,2010,50.87733
170,2011,44.37
170,2012,45.94
170,2013,49.47
170,2014,55.06
170,2015,53.98542
170,2016,56.32
170,2017,60.48
170,2018,56.37
174,2012,15.15391
178,2005,3.26866
178,2012,4.41617
178,2015,6.45237
180,2007,5.60234
180,2010,9.69137
180,2013,19.56653
188,2000,20.31
188,2001,19.36
188,2002,28.81
188,2003,38.54
188,2004,34.19
188,2005,40.2
188,2006,36.47
188,2007,34.25
188,2008,33.91
188,2009,37.97
188,2010,41.98
188,2011,28.53794
188,2012,47.63
188,2013,53.0
188,2014,38.75
188,2015,45.18
188,2016,49.36
188,2017,61.39
188,2018,50.16
204,2011,2.09453
204,2014,1.25269
204,2018,1.8164
214,2000,23.38
214,2001,31.79
214,2002,59.12
214,2003,61.47
214,2004,53.76
214,2005,62.05
214,2006,73.01
214,2007,53.50613
214,2008,67.44
214,2009,73.34
214,2010,72.44
214,2011,77.84
214,2012,67.91
214,2013,68.11304
214,2014,73.35303
214,2015,78.44
214,2016,77.22
214,2017,84.02
214,2018,86.19
218,2001,25.0
218,2003,30.14
218,2005,42.98
218,2006,33.1
218,2007,46.96
218,2008,56.31
218,2009,51.54
218,2010,65.26
218,2011,75.83
218,2012,63.08
218,2013,70.96
218,2014,73.86
218,2015,81.18
218,2016,79.9
218,2017,75.91
218,2018,79.45
222,2000,12.71
222,2001,21.01
222,2002,24.6
222,2003,14.84
222,2004,24.5
222,2005,19.57
222,2006,26.64
222,2009,30.65
222,2010,39.34
222,2012,44.39
222,2013,44.23
222,2014,40.62
222,2015,45.55
222,2016,43.44
222,2017,43.66
222,2018,45.71
231,2011,2.17245
231,2016,4.49891
266,2012,2.11772
270,2006,9.91111
270,2010,16.61304
270,2013,24.71977
288,2009,14.12651
288,2015,25.36131
320,2000,1.92
320,2006,3.53
320,2014,26.81
320,2015,7.12561
324,2012,1.73999
324,2016,1.4409
328,2006,57.13006
328,2009,46.20719
328,2014,74.08075
332,2005,1.73677
332,2012,8.71553
332,2017,9.53761
340,2001,7.79
340,2004,5.04
340,2005,10.71
340,2009,11.29
340,2010,12.84
340,2011,16.9277
340,2012,23.96
340,2013,24.56
340,2014,21.33
340,2015,20.53
340,2016,21.8
340,2018,18.51
356,2006,17.00337
356,2016,56.36905
360,2003,30.3311
360,2008,36.84583
360,2017,67.52916
368,2011,5.40018
384,2006,1.55146
384,2012,1.51301
384,2016,1.61443
388,2011,88.44478
398,2006,99.15245
398,2011,99.65552
398,2015,98.628
400,2007,75.74091
404,2003,12.62506
404,2008,32.56792
404,2014,41.65333
417,2006,98.85149
417,2012,97.35072
417,2014,91.28466
418,2006,1.71082
418,2012,2.10307
418,2017,12.02961
426,2005,7.3315
426,2009,11.66904
426,2014,10.33894
430,2013,1.34284
454,2004,5.51221
454,2010,5.06175
454,2016,4.67908
462,2008,72.80697
462,2017,88.88303
466,2006,0.82378
466,2013,0.67377
466,2015,2.3393
478,2007,2.47417
478,2011,2.70954
478,2015,21.73043
484,2000,21.34
484,2002,37.58
484,2004,44.36
484,2006,45.97
484,2008,49.4
484,2010,49.45
484,2012,59.91
484,2014,56.4
484,2016,80.29687
484,2018,69.84
496,2006,57.59699
496,2014,71.14717
498,2005,89.59272
498,2012,97.77415
499,2013,100.0
504,2004,1.54962
516,2007,12.54842
516,2013,24.43737
524,2007,18.91756
524,2011,26.2139
524,2014,49.88022
524,2016,59.57008
548,2007,15.79022
558,2001,4.61
558,2005,5.29
558,2009,19.36
558,2014,31.77
566,2003,10.69592
566,2007,9.60713
566,2008,8.21058
566,2011,16.03163
566,2013,3.31261
566,2016,13.67999
586,2007,2.5873
586,2012,4.91422
586,2018,3.58742
591,2000,35.17
591,2001,20.18
591,2002,16.08
591,2003,18.72
591,2004,32.02
591,2005,26.72
591,2006,19.69
591,2007,25.1
591,2008,21.91
591,2009,42.33
591,2011,34.03
591,2013,36.43
591,2014,31.68
591,2015,46.98
591,2016,50.53
591,2017,64.85
591,2018,63.29
600,2001,21.48
600,2003,36.84
600,2004,22.43
600,2005,42.33
600,2006,38.95
600,2007,36.13
600,2008,26.67
600,2009,50.17
600,2010,51.98
600,2011,45.17
600,2012,36.21
600,2013,42.49
600,2014,52.91
600,2015,60.03
600,2016,46.63539
600,2017,58.02
600,2018,53.76
604,2001,28.14
604,2002,27.84
604,2003,14.98
604,2004,23.32
604,2005,31.48
604,2006,38.13
604,2007,49.63
604,2008,40.18
604,2009,46.63
604,2010,50.44
604,2011,52.86
604,2012,56.05
604,2013,53.9
604,2014,58.81
604,2015,59.45
604,2016,57.82
604,2017,65.81
604,2018,68.82
608,2004,38.26947
608,2018,70.23132
624,2014,1.09775
626,2009,20.72391
626,2016,34.43171
646,2005,1.7488
646,2010,2.6615
646,2015,10.83098
678,2009,2.15186
678,2014,16.48397
686,2011,0.52024
686,2016,3.2297
686,2017,5.01583
688,2011,89.23081
688,2014,94.76122
694,2008,1.08561
694,2013,9.41062
694,2017,7.38173
704,2011,68.0441
704,2014,64.14499
710,2016,79.58817
716,2005,23.28726
716,2010,35.29807
716,2015,38.81879
728,2010,1.46056
729,2014,22.50426
740,2010,10.54322
748,2006,18.34085
748,2010,29.30513
748,2014,23.02413
760,2006,14.93213
762,2006,71.48048
762,2012,76.16045
762,2017,94.28665
764,2013,91.36636
764,2016,84.27003
768,2006,0.35268
768,2014,2.37724
788,2012,46.0812
792,2004,28.08171
792,2014,74.73271
795,2016,100.0
800,2006,0.28957
800,2011,2.80315
800,2016,3.80136
804,2007,96.13651
804,2013,100.0
807,2011,93.51849
818,2005,33.89818
818,2009,44.14508
818,2014,70.62778
834,2010,1.60727
834,2015,4.48338
854,2006,0.67666
854,2010,0.74229
858,2008,48.0
858,2009,51.92
858,2010,56.73
858,2011,47.05
858,2012,49.35
858,2014,43.42
858,2015,49.61
858,2016,50.58
858,2017,50.04
858,2018,64.69
860,2006,96.69351
887,2006,0.97078
887,2013,9.45496
894,2001,5.68102
894,2007,8.9874
894,2013,15.16219
