entity,year,value
40,2009,7.08241
51,2008,3.73333
120,2014,3.14558
124,2016,6.25
170,2013,4.08333
188,2017,6.57914
242,2016,9.37004
246,2000,4.81667
246,2010,4.21667
275,2000,8.05556
275,2013,7.29167
276,2013,4.97083
300,2014,3.88889
348,2010,6.32424
398,2018,4.375
410,2014,7.08333
418,2017,8.75018
484,2009,19.33924
484,2014,17.6147
496,2015,3.625
498,2012,4.62689
578,2011,5.83333
600,2016,6.27867
604,2010,6.72598
616,2013,7.5
642,2000,3.33333
642,2012,2.98611
688,2011,5.39803
688,2015,8.64247
756,2010,7.00833
756,2013,8.15833
756,2016,7.40833
792,2006,4.47776
