entity,year,value
1,2021,32.04
2,2021,32.19
4,2021,50.81
5,2021,42.24
8,2021,31.15
9,2021,26.77
11,2021,27.05
13,2021,39.91
14,2021,39.85
15,2021,29.9
17,2021,21.09
18,2021,32.26
19,2021,37.58
20,2021,35.71
21,2021,20.74
24,2021,17.78
29,2021,34.86
30,2021,12.55
31,2021,30.36
32,2021,36.19
34,2021,25.78
35,2021,25.37
36,2021,25.83
39,2021,44.78
40,2021,43.72
48,2021,47.5
50,2021,10.57
51,2021,71.97
53,2021,32.47
54,2021,18.64
56,2021,54.0
57,2021,24.44
62,2021,28.24
70,2021,19.05
72,2021,15.87
90,2021,16.0
100,2021,41.42
104,2021,27.19
112,2021,20.91
120,2021,18.33
132,2021,45.83
135,2021,48.72
142,2021,22.42
143,2021,44.44
144,2021,25.0
145,2021,30.81
148,2021,22.95
150,2021,41.81
151,2021,44.93
152,2021,41.29
154,2021,41.59
155,2021,35.13
156,2021,11.56
170,2021,46.67
178,2021,20.53
188,2021,45.61
191,2021,39.74
196,2021,25.0
199,2021,29.77
202,2021,32.54
203,2021,36.0
204,2021,12.05
208,2021,49.72
218,2021,46.72
222,2021,35.71
231,2021,63.62
233,2021,35.64
242,2021,19.61
246,2021,45.0
250,2021,36.92
262,2021,38.46
268,2021,52.0
270,2021,56.9
276,2021,23.27
296,2021,24.44
300,2021,24.67
320,2021,41.88
328,2021,46.27
332,2021,41.03
348,2021,32.66
352,2021,36.51
356,2021,20.24
360,2021,26.26
364,2021,25.35
372,2021,41.25
376,2021,31.67
380,2021,59.52
392,2021,22.15
398,2021,11.32
404,2021,29.8
410,2021,7.41
414,2021,24.62
417,2021,54.17
419,2021,40.77
428,2021,51.0
432,2021,43.0
438,2021,16.0
440,2021,45.39
442,2021,28.33
450,2021,31.25
458,2021,18.02
462,2021,59.77
470,2021,46.27
484,2021,44.8
485,2021,23.7
492,2021,33.33
498,2021,48.0
499,2021,53.09
504,2021,24.56
508,2021,33.2
512,2021,46.51
513,2021,40.84
514,2021,39.58
515,2021,27.44
518,2021,11.18
524,2021,16.36
528,2021,55.33
543,2021,19.82
554,2021,40.83
558,2021,9.89
562,2021,27.71
566,2021,25.56
578,2021,44.97
586,2021,31.25
598,2021,19.74
604,2021,45.38
616,2021,36.96
620,2021,39.13
634,2021,7.32
642,2021,51.67
646,2021,46.25
659,2021,25.0
674,2021,48.33
678,2021,36.36
686,2021,18.4
688,2021,56.4
702,2021,40.0
703,2021,52.03
704,2021,22.18
705,2021,32.22
710,2021,35.29
722,2021,37.14
724,2021,40.86
738,2021,32.54
740,2021,52.94
746,2021,29.9
747,2021,30.57
752,2021,46.07
753,2021,17.46
756,2021,39.5
764,2021,26.4
780,2021,21.43
784,2021,40.0
788,2021,39.63
792,2021,28.67
795,2021,63.2
804,2021,63.36
807,2021,48.33
826,2021,34.0
834,2021,24.15
840,2021,20.74
858,2021,36.36
862,2021,40.49
887,2021,3.99
894,2021,35.98
