entity,year,value
8,2011,0.34722
40,2009,0.58187
51,2008,0.35
56,2013,0.87958
120,2014,0.66974
124,2016,0.41667
152,2008,0.39672
152,2015,1.07502
170,2013,0.375
188,2017,0.5612
233,2000,0.20833
242,2016,1.03577
246,2000,0.13333
246,2010,0.07917
250,2010,0.71458
275,2000,0.34722
275,2013,0.41667
300,2014,0.55556
348,2010,0.50494
380,2003,0.4
380,2009,0.5
380,2014,0.4
392,2001,0.34722
392,2006,0.41667
392,2011,0.41667
392,2016,0.41667
398,2018,0.625
410,2014,0.69583
418,2017,6.92447
440,2003,0.04167
484,2009,4.16379
484,2014,3.73543
496,2015,2.19931
498,2012,0.10701
578,2011,1.66667
600,2016,0.87032
604,2010,0.92792
616,2013,0.34583
620,2015,1.88676
634,2013,0.0
642,2000,0.0
642,2012,0.20833
688,2011,0.26039
688,2015,1.30729
752,2001,0.81928
752,2011,1.26414
756,2000,0.3125
756,2004,0.15
756,2007,0.25417
756,2010,0.0875
756,2013,0.125
756,2016,0.26667
792,2006,0.52611
792,2015,0.42708
807,2015,0.41667
826,2001,0.60636
826,2015,0.83578
840,2003,0.625
840,2004,0.54167
840,2005,0.375
840,2006,0.625
840,2007,0.33333
840,2008,0.33333
840,2009,0.29167
840,2010,0.29167
840,2011,0.33333
840,2012,0.41667
840,2013,0.41667
840,2014,0.41667
840,2015,0.375
840,2016,0.41667
840,2017,0.41667
840,2018,0.58333
