entity,year,value
8,2018,562.0
32,2018,285.0
40,2010,35.9
40,2014,36.9
40,2018,39.2
50,2017,152.4
51,2014,855.7
51,2015,876.2
51,2016,910.8
51,2017,882.2
51,2018,893.7
51,2019,1180.1
56,2010,39.3
56,2014,39.9
56,2015,38.6
56,2016,38.8
56,2018,40.0
68,2005,28.0
68,2006,17.1
68,2007,15.3
68,2008,22.9
68,2009,16.8
68,2011,19.1
68,2012,23.6
68,2013,28.7
68,2014,27.6
68,2015,24.1
68,2016,32.5
68,2017,34.0
68,2018,35.9
68,2019,36.3
70,2010,6.9
70,2011,7.1
70,2012,6.8
70,2013,7.8
70,2014,7.3
70,2015,7.7
70,2016,7.7
70,2017,6.8
70,2018,6.9
70,2019,8.9
72,2019,116.0
76,2012,21.9
76,2013,23.6
76,2014,26.2
76,2015,29.9
76,2016,31.2
76,2017,36.6
76,2018,37.1
76,2019,36.9
84,2017,5.0
84,2018,8.1
84,2019,8.0
96,2014,30.8
96,2017,19.8
100,2014,11.8
100,2018,16.0
104,2017,2086.8
104,2018,2176.5
104,2019,1839.6
112,2019,10.0
116,2012,3128.4
120,2014,1789.4
132,2015,492.7
144,2013,214.3
144,2014,250.9
144,2015,291.3
144,2016,328.4
144,2017,321.0
144,2018,347.7
148,2018,1730.0
152,2015,13551.6
152,2017,15521.0
188,2012,7361.0
188,2013,7937.4
188,2014,9683.2
188,2015,9861.2
188,2016,11653.0
188,2017,11634.5
188,2018,9647.3
188,2019,10515.8
191,2018,106.0
196,2010,31.6
196,2014,27.8
196,2018,33.0
203,2012,373.5
203,2013,362.3
203,2014,373.6
203,2015,384.8
203,2016,387.2
203,2017,414.6
203,2018,434.7
208,2014,375.5
208,2018,405.0
214,2015,120.6
214,2016,249.4
214,2019,170.8
218,2013,7.7
218,2014,8.6
218,2015,8.6
218,2016,7.8
218,2017,8.1
218,2018,11.9
218,2019,9.0
233,2010,10.8
233,2014,11.9
233,2018,14.0
246,2010,39.4
246,2013,39.7
246,2014,40.2
246,2016,41.0
246,2017,41.7
250,2010,32.1
250,2014,33.7
250,2018,36.0
270,2012,62.1
276,2010,39.5
276,2014,46.2
288,2015,12.1
300,2010,20.8
300,2014,20.2
300,2018,22.0
320,2006,40.4
320,2010,46.8
320,2011,45.9
320,2012,49.8
320,2013,43.2
320,2014,47.3
320,2015,41.0
320,2016,40.0
320,2017,41.3
328,2018,7354.2
340,2015,82.6
340,2016,102.0
340,2017,102.3
340,2018,74.4
340,2019,99.0
348,2014,3552.5
348,2018,3971.0
352,2014,5720.0
352,2015,6420.0
352,2016,6910.0
352,2017,7360.0
352,2018,7380.0
360,2017,43428.7
360,2019,44528.2
372,2010,34.5
372,2014,33.9
372,2018,39.0
376,2014,86.0
376,2015,95.2
376,2016,95.0
376,2018,100.7
380,2010,39.1
380,2014,44.3
380,2018,46.0
400,2017,7.3
400,2018,3.7
400,2019,3.5
410,2009,28945.0
410,2010,30844.0
410,2011,34547.0
410,2012,37117.0
410,2013,41219.0
410,2014,46039.0
410,2015,46228.0
410,2016,49834.0
410,2017,50241.0
410,2018,57316.0
410,2019,63990.0
418,2017,16744.7
422,2019,13779.4
428,2010,7.1
428,2014,8.7
428,2018,12.0
440,2010,6.5
440,2014,7.7
440,2018,8.7
442,2010,52.1
442,2014,49.5
442,2018,52.0
450,2015,2550.8
454,2013,370.4
458,2011,28.3
458,2012,29.5
458,2013,30.9
458,2014,35.6
458,2015,38.4
458,2016,38.6
458,2017,44.3
458,2018,48.7
462,2016,235.0
466,2013,304.9
470,2010,15.2
470,2014,19.1
470,2018,22.0
480,2011,317.9
480,2012,334.8
480,2013,335.4
480,2014,349.6
480,2015,381.8
480,2016,374.3
480,2017,430.7
480,2018,446.8
480,2019,314.7
484,2016,97.9
496,2019,5702.7
499,2014,8.8
524,2017,184.2
528,2010,31.0
528,2014,33.5
528,2018,36.0
531,2018,121.7
578,2014,432.2
578,2018,482.0
586,2016,235.0
586,2017,287.1
600,2002,16080.3
600,2003,14451.5
600,2004,13187.7
600,2005,14787.4
600,2006,17821.3
600,2007,14438.6
