entity,year,value
124,2000,0.01178
124,2001,0.0126
124,2002,0.01539
124,2003,0.01484
124,2004,0.01534
124,2005,0.01143
124,2006,0.01455
124,2007,0.02008
124,2008,0.02194
124,2009,0.0265
124,2010,0.02679
124,2011,0.02818
124,2012,0.02928
124,2013,0.02946
124,2014,0.02902
124,2015,0.02941
124,2016,0.03062
124,2017,0.03128
233,2000,0.92766
233,2001,0.86738
233,2002,0.82373
233,2003,0.93605
233,2004,0.83575
233,2005,0.742
233,2006,0.64185
233,2007,0.69943
233,2008,0.72203
233,2009,0.78451
233,2010,0.91952
233,2011,0.89277
233,2012,0.85873
233,2013,0.91928
233,2014,0.91454
233,2015,0.8404
233,2016,0.84917
233,2017,0.83442
376,2000,0.00228
376,2001,0.00242
376,2002,0.00268
376,2003,0.00253
376,2004,0.00242
376,2005,0.00227
376,2006,0.00226
376,2007,0.00203
376,2008,0.00195
376,2009,0.002
376,2010,0.00185
376,2011,0.00169
376,2012,0.00168
376,2013,0.00161
376,2014,0.00145
376,2015,0.00143
376,2016,0.00137
376,2017,0.00131
