entity,year,value
4,2011,0.26498
4,2015,0.56391
8,2009,0.9969
8,2017,1.05358
12,2013,0.98244
24,2015,0.80192
31,2006,0.92008
50,2006,1.25124
50,2011,1.18577
50,2014,1.15536
51,2006,1.03401
51,2011,1.0094
51,2016,0.99903
64,2010,1.0819
68,2000,0.96264
68,2001,0.9671
68,2002,0.83901
68,2003,0.73197
68,2004,0.91935
68,2005,0.96827
68,2006,0.90666
68,2007,0.88786
68,2008,0.9301
68,2009,0.93207
68,2011,0.9491
68,2012,0.95458
68,2013,1.05025
68,2014,1.02115
68,2015,1.00271
68,2016,0.92517
68,2017,0.9803
68,2018,1.01561
70,2012,0.99409
76,2001,1.12392
76,2002,1.10384
76,2003,1.11449
76,2004,1.10309
76,2005,1.08468
76,2006,1.08574
76,2007,1.07166
76,2008,1.08181
76,2009,1.08129
76,2011,1.05677
76,2012,1.04813
76,2013,1.05271
76,2014,1.03783
76,2015,1.03487
76,2016,1.0577
76,2017,1.05887
76,2018,1.05098
84,2016,1.05673
104,2016,1.0138
108,2000,1.48288
108,2010,0.88981
108,2017,1.3393
112,2012,1.0
116,2005,0.81605
116,2010,1.08447
116,2014,1.22445
120,2004,0.92204
120,2006,0.61555
120,2011,0.47485
120,2014,0.58368
140,2006,0.15379
140,2010,0.4079
144,2006,1.01021
148,2004,0.32217
148,2014,0.61821
152,2000,1.06809
152,2003,1.02901
152,2006,1.02388
152,2009,1.04417
152,2011,1.00213
152,2013,1.05374
152,2015,1.03126
152,2017,1.03389
170,2002,1.13342
170,2003,1.15371
170,2004,1.08318
170,2005,1.18207
170,2008,1.11024
170,2009,1.09773
170,2010,1.12534
170,2011,1.11471
170,2012,1.09363
170,2013,1.1015
170,2014,1.10298
170,2015,1.06633
170,2016,1.08712
170,2017,1.08273
170,2018,1.0761
174,2012,1.09551
178,2005,0.78677
178,2012,0.78441
178,2015,0.96172
180,2007,0.55872
180,2010,0.74934
180,2013,0.75228
188,2000,1.00213
188,2001,0.98736
188,2002,1.07207
188,2003,1.05576
188,2004,1.09553
188,2005,1.10328
188,2006,1.0918
188,2007,1.09925
188,2008,1.08192
188,2009,1.09275
188,2010,1.09991
188,2011,1.01714
188,2012,1.01457
188,2013,1.04296
188,2014,1.0217
188,2015,1.02282
188,2016,1.03129
188,2017,0.99913
188,2018,1.03025
204,2006,0.5239
204,2011,0.78193
204,2014,0.62619
204,2018,0.72864
214,2000,1.30256
214,2001,1.04771
214,2002,1.28013
214,2003,1.23975
214,2004,1.16322
214,2005,1.22099
214,2006,1.20179
214,2007,1.22461
214,2008,1.16105
214,2009,1.22882
214,2010,1.15717
214,2011,1.20773
214,2012,1.15763
214,2013,1.15276
214,2014,1.14762
214,2015,1.06604
214,2016,1.15032
214,2017,1.08375
214,2018,1.08643
218,2001,1.02893
218,2003,1.00931
218,2005,1.00626
218,2006,1.01389
218,2007,1.0204
218,2008,0.98906
218,2009,1.03833
218,2010,1.04559
218,2011,1.02756
218,2012,1.00084
218,2013,0.99885
218,2014,1.00802
218,2015,1.03864
218,2016,1.00808
218,2017,1.00603
218,2018,0.99827
222,2000,0.91836
222,2001,1.00076
222,2002,0.93761
222,2003,1.07099
222,2004,1.0944
222,2005,1.06327
222,2006,1.13238
222,2009,1.12435
222,2010,1.09752
222,2012,1.0984
222,2013,1.02707
222,2014,1.03827
222,2015,1.07319
222,2016,1.0412
222,2017,0.98692
222,2018,1.02281
231,2005,0.5403
231,2011,1.24722
231,2016,0.98033
266,2012,1.15827
270,2006,0.66245
270,2010,1.1644
270,2013,0.81552
275,2014,1.02301
288,2009,0.88117
288,2015,1.0112
320,2000,0.59764
320,2006,0.6832
320,2014,0.88321
320,2015,0.92192
324,2005,0.35599
324,2012,0.41756
324,2016,0.60355
328,2006,1.02615
328,2009,0.87492
328,2014,1.06711
332,2005,1.10847
332,2012,1.4127
332,2017,1.28687
340,2001,1.07754
340,2004,1.14584
340,2005,1.25732
340,2009,1.1199
340,2010,1.02351
340,2011,1.07785
340,2012,1.10318
340,2013,1.04652
340,2014,1.00029
340,2015,1.1133
340,2016,1.06691
340,2018,1.04746
356,2006,0.67829
356,2016,0.98162
360,2003,1.04787
360,2008,1.06473
360,2017,1.07172
368,2011,0.59409
384,2006,0.5497
384,2012,0.45931
384,2016,0.52824
388,2011,1.00638
398,2006,1.00352
398,2011,1.01246
398,2015,1.0
400,2007,1.01134
404,2003,1.17726
404,2008,0.92388
404,2014,1.06054
417,2006,1.00286
417,2012,1.00182
417,2014,1.00486
418,2006,0.4431
418,2012,0.85626
418,2017,0.86564
426,2005,1.71671
426,2009,1.65363
426,2014,1.55513
430,2007,0.45621
430,2013,1.04734
450,2009,1.26421
454,2004,1.12163
454,2010,1.28036
454,2016,1.25745
462,2008,1.04964
462,2017,1.01696
466,2006,0.79235
466,2013,0.60688
466,2015,0.65407
478,2007,0.8231
478,2011,0.98478
478,2015,0.63358
484,2000,1.00344
484,2002,1.0279
484,2004,1.00107
484,2006,1.02326
484,2008,1.02187
484,2010,1.03396
484,2012,0.99426
484,2014,1.00566
484,2016,1.05404
484,2018,1.02843
496,2006,1.07286
496,2014,1.01814
498,2005,1.03666
498,2012,1.00138
499,2013,0.98952
504,2004,0.42174
508,2003,1.03626
508,2008,0.56579
508,2011,0.23745
516,2007,1.34331
516,2013,1.2615
524,2007,0.61054
524,2011,0.82463
524,2014,1.00181
524,2016,0.97744
548,2007,1.01307
558,2001,1.2615
558,2005,1.24503
558,2009,1.34335
558,2014,1.29393
562,2006,0.38824
562,2012,0.63836
566,2003,0.71025
566,2007,0.85598
566,2008,0.7508
566,2011,0.83981
566,2013,0.51255
566,2016,0.80441
586,2007,0.43374
586,2012,0.53645
586,2018,0.48653
591,2000,1.07581
591,2001,1.03056
591,2002,1.01358
591,2003,0.99782
591,2004,1.00784
591,2005,1.02051
591,2006,1.01758
591,2007,1.03894
591,2008,1.03532
591,2009,0.9764
591,2011,1.06639
591,2013,1.00068
591,2014,1.0412
591,2015,0.99749
591,2016,1.08616
591,2017,0.96773
591,2018,1.02428
600,2001,1.07359
600,2003,1.09035
600,2004,0.98748
600,2005,1.1501
600,2006,1.02523
600,2007,1.15949
600,2008,1.08914
600,2009,0.98449
600,2010,1.12131
600,2011,0.99521
600,2012,1.16205
600,2013,1.12144
600,2014,1.13899
600,2015,1.04707
600,2016,1.1786
600,2017,1.11934
600,2018,1.07207
604,2000,0.88399
604,2001,0.92973
604,2002,0.9564
604,2003,0.98666
604,2004,0.97434
604,2005,0.94487
604,2006,0.95726
604,2007,0.98475
604,2008,0.96944
604,2009,0.98163
604,2010,0.98291
604,2011,1.00814
604,2012,0.98709
604,2013,1.01232
604,2014,1.02145
604,2015,0.99499
604,2016,1.02015
604,2017,0.99409
604,2018,0.97913
608,2004,1.27921
608,2018,1.19318
624,2014,0.80935
626,2009,1.06218
626,2016,1.08974
646,2005,1.63147
646,2010,0.90252
646,2015,1.30411
662,2012,1.04318
678,2009,1.09253
678,2014,1.04332
686,2005,0.21516
686,2011,0.85738
686,2016,0.94025
686,2017,0.87812
688,2011,0.9937
688,2014,1.0182
694,2008,1.29283
694,2013,1.12932
694,2017,1.08332
704,2011,0.94389
704,2014,1.02858
710,2016,1.06332
716,2005,1.10096
716,2010,1.14786
716,2015,1.0436
728,2010,0.29073
729,2014,0.91822
740,2010,1.24959
748,2006,1.0847
748,2010,1.40323
748,2014,1.1188
760,2006,0.9062
762,2006,0.94124
762,2012,0.98864
762,2017,0.97468
764,2013,1.0195
764,2016,1.00746
768,2006,0.61784
768,2010,0.71238
768,2014,0.74618
788,2012,1.05577
792,2004,0.79081
792,2014,0.96435
795,2016,1.0
800,2006,0.83737
800,2011,0.89986
800,2016,0.82271
804,2007,0.99348
804,2013,0.99794
807,2011,0.97711
818,2005,0.77889
818,2009,0.89277
818,2014,1.00669
834,2004,1.12872
834,2010,0.84889
834,2015,1.19638
854,2003,0.31532
854,2006,0.77409
854,2010,0.91807
858,2008,1.07266
858,2009,1.05246
858,2010,1.01658
858,2011,1.02768
858,2012,1.03934
858,2013,1.08185
858,2014,1.04476
858,2015,1.01208
858,2016,1.01818
858,2017,1.02425
858,2018,1.01611
860,2006,1.0
862,2000,1.16175
862,2001,1.11764
862,2002,1.11272
862,2003,1.12978
862,2004,1.12743
862,2005,1.0918
862,2006,1.08815
862,2007,1.07638
862,2008,1.09872
862,2009,1.05991
862,2010,1.07753
862,2011,1.04761
862,2012,1.05787
862,2013,1.04002
862,2014,1.03823
