entity,year,value
40,2009,9.50728
51,2008,3.59583
120,2014,4.94228
124,2016,9.16667
170,2013,4.75
188,2017,8.90689
242,2016,5.81246
246,2000,9.55833
246,2010,10.22083
275,2000,3.95833
275,2013,3.47222
276,2013,9.7
300,2014,6.11111
348,2010,7.81445
398,2018,6.25
410,2014,3.8875
418,2017,9.68681
484,2009,12.60001
484,2014,11.8531
496,2015,6.89097
498,2012,6.83913
578,2011,14.025
600,2016,5.46802
604,2010,8.80226
616,2013,7.08333
642,2000,7.08333
642,2012,8.26389
688,2011,6.81739
688,2015,8.39914
756,2010,11.15417
756,2013,11.7
756,2016,12.37917
792,2006,3.33562
