entity,year,value
1,2019,6.9
4,2004,8.6
4,2013,9.53449
4,2018,5.13117
8,2000,12.24072
8,2005,7.32469
8,2009,9.57951
8,2017,1.58422
12,2000,3.09807
12,2002,9.61801
12,2006,4.13099
12,2012,4.10675
15,2019,7.2
21,2019,0.4
24,2007,8.2
24,2015,4.92099
30,2019,1.7
31,2000,8.981
31,2001,3.2
31,2006,6.79761
31,2011,6.6
31,2013,3.15923
32,2005,1.2
32,2019,1.6
34,2019,14.3
35,2019,8.2
36,2007,0.0
50,2000,12.47274
50,2001,12.7
50,2002,12.4
50,2003,12.5
50,2004,14.64198
50,2005,11.8
50,2006,11.9
50,2007,17.47901
50,2011,15.68731
50,2013,18.1
50,2014,14.37521
50,2018,8.4
51,2000,2.53483
51,2005,5.36301
51,2010,4.12786
51,2016,4.42688
52,2012,6.77008
62,2019,13.8
64,2008,4.45382
64,2010,5.85235
68,2003,1.74604
68,2008,1.40858
68,2012,1.53911
68,2016,1.95657
70,2000,7.36389
70,2006,4.03126
70,2012,2.34816
72,2000,5.90692
72,2007,7.31493
76,2007,1.82781
84,2006,1.8772
84,2011,3.2875
84,2015,1.76696
90,2007,4.3
90,2015,8.46543
96,2009,2.9
100,2004,3.2
100,2007,4.5
100,2014,6.3
104,2000,10.69049
104,2003,11.6654
104,2009,7.9
104,2016,6.62524
108,2000,8.08656
108,2005,9.0
108,2010,5.98111
108,2016,5.09383
108,2019,5.1
112,2005,2.2066
116,2000,17.08875
116,2005,8.48537
116,2008,9.08313
116,2010,11.03111
116,2014,9.72192
120,2004,6.16709
120,2006,7.59039
120,2011,5.70538
120,2014,5.2194
120,2018,4.3
140,2000,10.41131
140,2006,12.10755
140,2010,7.37395
140,2012,7.41418
140,2018,6.6
143,2019,2.4
144,2000,15.5
144,2007,14.7
144,2009,11.8
144,2012,21.31417
144,2016,15.1
145,2019,3.7
148,2000,13.88474
148,2004,16.16867
148,2010,16.28302
148,2015,13.28818
152,2001,0.5
152,2002,0.5
152,2003,0.5
152,2004,0.5
152,2006,0.5
152,2007,0.3
152,2008,0.3
152,2013,0.3
152,2014,0.3
156,2000,2.5
156,2002,3.0
156,2005,2.9
156,2008,2.6
156,2009,2.6
156,2010,2.3
156,2013,1.9
170,2000,1.03973
170,2004,1.56336
170,2010,0.89901
170,2016,1.64776
174,2000,13.28461
174,2012,11.21121
178,2005,8.02335
178,2011,6.02167
178,2014,8.16927
180,2001,15.86058
180,2007,10.35906
180,2010,8.50105
180,2013,8.12467
188,2008,1.0
192,2000,2.4
199,2019,10.9
202,2019,6.3
203,2001,4.63814
204,2001,9.0442
204,2014,4.465
204,2018,4.96514
214,2000,1.49294
214,2002,2.23972
214,2006,1.9
214,2007,2.29577
214,2013,2.3778
218,2004,2.02989
218,2006,2.12742
218,2012,2.36709
218,2014,1.62711
222,2003,1.30935
222,2008,1.58736
222,2014,2.13874
226,2000,9.23759
226,2004,2.8
226,2011,3.1
231,2000,12.36474
231,2005,12.39251
231,2011,9.77814
231,2014,8.7
231,2016,9.99173
231,2019,7.2
232,2002,14.97234
232,2010,14.55067
242,2004,6.3
262,2002,19.44762
262,2012,21.45234
266,2000,4.2462
266,2012,3.44818
268,2005,2.99048
268,2009,1.6
270,2000,9.11243
270,2006,7.37092
270,2010,9.53176
270,2012,9.54499
270,2013,11.01238
270,2018,6.03162
275,2002,9.4
275,2004,3.13385
275,2006,1.76907
275,2010,3.31755
275,2014,1.19357
276,2004,1.0
276,2016,0.3
288,2003,8.3794
288,2006,5.9595
288,2008,8.68715
288,2011,6.21674
288,2014,4.69694
288,2017,6.8
320,2000,3.70768
320,2002,1.93161
320,2009,1.00315
320,2015,0.75207
324,2005,10.97891
324,2007,8.3
324,2011,5.1431
324,2012,9.97097
324,2016,8.09119
324,2018,9.20149
328,2000,12.10439
328,2006,8.32632
328,2009,5.52408
328,2014,6.42884
332,2000,5.54315
332,2006,10.22453
332,2012,5.14032
332,2017,3.7214
340,2001,1.26133
340,2006,1.35985
340,2012,1.3684
356,2006,20.02631
356,2014,15.1
356,2015,20.78397
356,2017,17.3
360,2000,5.5
360,2001,5.4
360,2004,14.4
360,2007,14.8
360,2010,12.3
360,2013,13.5
360,2018,10.2
364,2004,4.8
364,2011,4.0
368,2000,6.59956
368,2003,5.6
368,2004,6.9
368,2006,5.78622
368,2011,6.49616
368,2018,3.02922
384,2006,8.37375
384,2007,14.0
384,2012,7.60641
384,2016,6.05095
388,2000,3.0287
388,2001,3.20593
388,2002,2.35774
388,2004,4.52794
388,2006,3.69439
388,2007,2.67369
388,2008,2.51367
388,2010,4.80225
388,2012,2.9582
388,2014,3.6016
392,2010,2.3
398,2006,4.88367
398,2010,4.05979
398,2015,3.0998
400,2002,2.46423
400,2009,1.56036
400,2012,2.42054
404,2000,7.39065
404,2003,6.23011
